"geonlp_id","entry_id","body","suffix","fullname","body_kana","suffix_kana","ne_class","hypernym","address","tel","longitude","latitude","code"
"","01100","札幌","市/","札幌市","サッポロ","シ/","市区町村/政令市","北海道","札幌市中央区北１条西２丁目","011-211-2111","141.35431","43.06304","lasdec:011002/jisx0402:01100"
"","01101","中央","区/","中央区","チュウオウ","ク/","市区町村/区","北海道/札幌市","札幌市中央区南３条西１１丁目","011-231-2400","141.34103","43.05513","lasdec:011011/jisx0402:01101"
"","01102","北","区/","北区","キタ","ク/","市区町村/区","北海道/札幌市","札幌市北区北２４条西６丁目","011-757-2400","141.34038","43.09054","lasdec:011029/jisx0402:01102"
"","01103","東","区/","東区","ヒガシ","ク/","市区町村/区","北海道/札幌市","札幌市東区北１１条東７丁目","011-741-2400","141.36382","43.07616","lasdec:011037/jisx0402:01103"
"","01104","白石","区/","白石区","シロイシ","ク/","市区町村/区","北海道/札幌市","札幌市白石区本郷通３丁目北１－１","011-861-2400","141.40451","43.04772","lasdec:011045/jisx0402:01104"
"","01105","豊平","区/","豊平区","トヨヒラ","ク/","市区町村/区","北海道/札幌市","札幌市豊平区平岸６条１０丁目","011-822-2400","141.3801","43.03057","lasdec:011053/jisx0402:01105"
"","01106","南","区/","南区","ミナミ","ク/","市区町村/区","北海道/札幌市","札幌市南区真駒内幸町２丁目","011-582-2400","141.35471","42.9899","lasdec:011061/jisx0402:01106"
"","01107","西","区/","西区","ニシ","ク/","市区町村/区","北海道/札幌市","札幌市西区琴似２条７丁目","011-641-2400","141.2997","43.07433","lasdec:011070/jisx0402:01107"
"","01108","厚別","区/","厚別区","アツベツ","ク/","市区町村/区","北海道/札幌市","札幌市厚別区厚別中央１条５丁目","011-895-2400","141.47284","43.03614","lasdec:011088/jisx0402:01108"
"","01109","手稲","区/","手稲区","テイネ","ク/","市区町村/区","北海道/札幌市","札幌市手稲区前田１条１１丁目１－１０","011-681-2400","141.24345","43.12113","lasdec:011096/jisx0402:01109"
"","01110","清田","区/","清田区","キヨタ","ク/","市区町村/区","北海道/札幌市","札幌市清田区平岡１条１丁目","011-889-2400","141.44377","42.99807","lasdec:011100/jisx0402:01110"
"","01201","札幌","市/","札幌市","サッポロ","シ/","市区町村/市","北海道","札幌市中央区北１条西２丁目１番地の甲のイの１","011-211-2111","141.35446","43.06219","lasdec:012017/jisx0402:01201"
"","01202","函館","市/","函館市","ハコダテ","シ/","市区町村/市","北海道","函館市東雲町４－１３","0138-21-3111","140.72823","41.76903","lasdec:012025/jisx0402:01202"
"","01203","小樽","市/","小樽市","オタル","シ/","市区町村/市","北海道","小樽市花園２－１２－１","0134-32-4111","140.99451","43.19045","lasdec:012033/jisx0402:01203"
"","01204","旭川","市/","旭川市","アサヒカワ","シ/","市区町村/市","北海道","旭川市６条通９丁目","0166-26-1111","142.36452","43.77041","lasdec:012041/jisx0402:01204"
"","01205","室蘭","市/","室蘭市","ムロラン","シ/","市区町村/市","北海道","室蘭市幸町１－２","0143-22-1111","140.97348","42.31548","lasdec:012050/jisx0402:01205"
"","01206","釧路","市/","釧路市","クシロ","シ/","市区町村/市","北海道","釧路市黒金町７－５","0154-23-5151","144.38171","42.98497","lasdec:012068/jisx0402:01206"
"","01207","帯広","市/","帯広市","オビヒロ","シ/","市区町村/市","北海道","帯広市西５条南７－１","0155-24-4111","143.19647","42.9241","lasdec:012076/jisx0402:01207"
"","01208","北見","市/","北見市","キタミ","シ/","市区町村/市","北海道","北見市北５条東２丁目","0157-23-7111","143.89445","43.80844","lasdec:012084/jisx0402:01208"
"","01209","夕張","市/","夕張市","ユウバリ","シ/","市区町村/市","北海道","夕張市本町４－２","0123-52-3131","141.97318","43.05618","lasdec:012092/jisx0402:01209"
